code_insee,population,superficie,densite
01001,806,15.95,50.53291536050157
01002,262,9.15,28.633879781420763
01004,14288,24.6,580.8130081300812
01005,1782,15.92,111.93467336683418
01006,113,5.88,19.217687074829932
01007,2827,33.55,84.26229508196722
01008,768,5.22,147.12643678160921
01009,324,6.94,46.68587896253602
01010,1101,29.26,37.62816131237184
01011,368,14.57,25.257378174330817
01012,327,21.65,15.103926096997691
01013,143,14.1,10.141843971631205
01014,3336,23.49,142.01787994891444
01015,663,22.49,29.47976878612717
01016,458,17.47,26.216370921579852
01017,445,7.84,56.76020408163265
01019,26,6.82,3.8123167155425217
01021,1490,5.5,270.90909090909093
01022,1213,3.75,323.46666666666664
01023,76,4.68,16.239316239316242
01024,3299,18.69,176.5115034777956
01025,4068,56.87,71.53156321434852
01026,977,0.88,1110.2272727272727
01027,2647,18.04,146.72949002217297
01028,625,8.91,70.14590347923681
01029,683,14.07,48.54299928926795
01030,821,0.94,873.404255319149
01031,3671,7.83,468.83780332056193
01032,3414,13.3,256.69172932330827
01033,16434,62.53,262.81784743323203
01034,9207,22.42,410.66012488849236
01035,308,17.63,17.470221213840045
01036,1334,56.71,23.523188150238052
01037,309,15.33,20.15655577299413
01038,759,18.25,41.58904109589041
01040,480,10.83,44.3213296398892
01041,748,3.37,221.95845697329375
01042,291,2.77,105.05415162454874
01043,4829,10.64,453.8533834586466
01044,628,13.7,45.839416058394164
01045,285,15.83,18.003790271636134
01046,912,11.39,80.0702370500439
01047,1269,9.32,136.1587982832618
01049,3335,9.4,354.78723404255317
01050,380,9.05,41.98895027624309
01051,91,4.92,18.495934959349594
01052,332,26.09,12.725182062092756
01053,41681,23.86,1746.8985750209556
01054,1482,8.98,165.03340757238306
01056,351,16.94,20.72018890200708
01057,514,7.31,70.31463748290014
01058,819,11.0,74.45454545454545
01060,486,23.79,20.428751576292562
01061,1133,6.9,164.20289855072463
01062,951,7.73,123.02716688227683
01063,561,4.48,125.22321428571428
01064,1095,12.29,89.09682668836453
01065,1825,10.21,178.74632713026443
01066,92,10.82,8.502772643253234
01067,259,10.01,25.874125874125873
01068,771,12.3,62.68292682926829
01069,1514,15.92,95.10050251256281
01071,5045,6.39,789.5148669796557
01072,3202,9.36,342.0940170940171
01073,995,19.72,50.45638945233266
01074,2574,32.88,78.28467153284672
01075,1402,17.0,82.47058823529412
01076,122,4.6,26.521739130434785
01077,192,7.65,25.098039215686274
01078,1597,8.67,184.19838523644754
01079,822,18.16,45.26431718061674
01080,636,31.53,20.17126546146527
01081,726,32.4,22.40740740740741
01082,637,18.1,35.193370165745854
01083,965,12.63,76.40538400633412
01084,921,13.42,68.62891207153503
01085,397,13.37,29.69334330590875
01087,279,18.27,15.270935960591133
01088,902,6.62,136.25377643504532
01089,2254,16.06,140.34869240348692
01090,361,14.95,24.147157190635454
01092,1622,14.01,115.77444682369736
01093,4968,17.98,276.3070077864294
01094,761,16.55,45.98187311178248
01095,843,30.98,27.211103938024532
01096,1033,16.87,61.232957913455834
01098,1175,15.44,76.10103626943005
01099,1590,21.95,72.4373576309795
01100,131,6.26,20.926517571884986
01101,152,6.67,22.788605697151425
01102,966,17.2,56.162790697674424
01103,2226,5.84,381.16438356164383
01104,453,46.57,9.727292248228473
01105,1867,19.76,94.48380566801619
01106,178,4.52,39.38053097345133
01107,136,7.82,17.391304347826086
01108,1161,16.87,68.82039122703023
01109,2230,16.25,137.23076923076923
01110,159,5.96,26.677852348993287
01111,133,15.28,8.704188481675393
01112,467,4.64,100.64655172413794
01113,817,21.64,37.75415896487985
01114,693,11.66,59.43396226415094
01115,1339,18.17,73.69290038525041
01116,496,14.18,34.97884344146686
01117,150,7.2,20.833333333333332
01118,1279,31.59,40.4874960430516
01121,116,5.45,21.28440366972477
01123,1159,9.85,117.66497461928934
01124,702,19.56,35.88957055214724
01125,604,22.69,26.61965623622741
01127,506,14.82,34.14304993252362
01128,301,9.06,33.22295805739514
01129,303,13.23,22.90249433106576
01130,2368,25.98,91.14703618167822
01133,395,7.93,49.810844892812106
01134,1792,12.12,147.85478547854785
01135,2205,27.47,80.26938478340007
01136,922,11.84,77.87162162162163
01138,3426,29.66,115.50910316925152
01139,444,23.94,18.546365914786968
01140,764,12.41,61.56325543916196
01141,443,4.87,90.96509240246407
01142,4765,6.65,716.5413533834586
01143,9999,33.88,295.1298701298701
01145,1190,29.1,40.893470790378004
01146,436,4.78,91.2133891213389
01147,509,15.2,33.48684210526316
01148,1892,18.11,104.47266703478742
01149,1094,5.26,207.98479087452472
01150,214,7.78,27.506426735218508
01151,1139,20.72,54.97104247104247
01152,756,28.09,26.913492346030615
01153,2123,16.44,129.13625304136252
01155,142,12.08,11.754966887417218
01156,843,11.22,75.13368983957218
01157,2339,8.22,284.54987834549877
01158,1053,14.28,73.73949579831933
01159,3366,14.91,225.75452716297787
01160,10612,4.78,2220.083682008368
01162,65,2.79,23.29749103942652
01163,2016,40.36,49.950445986124876
01165,1586,13.56,116.96165191740413
01166,2417,7.98,302.88220551378447
01167,657,8.57,76.66277712952159
01169,651,4.08,159.55882352941177
01170,1044,4.69,222.60127931769722
01171,830,3.31,250.75528700906344
01173,13177,32.02,411.524047470331
01174,176,9.39,18.743343982960596
01175,790,6.88,114.82558139534883
01177,184,7.13,25.806451612903228
01179,1884,14.87,126.69804976462677
01180,842,7.5,112.26666666666667
01181,1241,6.32,196.36075949367088
01183,1487,4.51,329.7117516629712
01184,756,21.6,35.0
01185,4824,106.11,45.46225614927905
01187,615,107.85,5.7023643949930465
01188,681,20.37,33.43151693667157
01189,1123,29.61,37.926376224248564
01190,86,13.44,6.398809523809524
01191,152,13.04,11.656441717791411
01192,2272,20.86,108.91658676893576
01193,220,7.67,28.683181225554108
01194,6337,4.81,1317.4636174636175
01195,1822,18.93,96.24933967247755
01196,1241,16.3,76.13496932515338
01197,377,2.43,155.1440329218107
01198,266,16.58,16.04342581423402
01199,2129,15.39,138.33658219623132
01200,213,8.8,24.204545454545453
01202,7214,27.25,264.73394495412845
01203,1306,10.31,126.67313288069835
01204,746,33.15,22.50377073906486
01206,274,6.59,41.57814871016692
01207,314,20.04,15.6686626746507
01208,135,6.3,21.42857142857143
01209,796,11.4,69.82456140350877
01210,231,17.63,13.102665910380034
01211,1397,31.48,44.37738246505718
01212,712,20.05,35.51122194513716
01213,1332,14.18,93.93511988716503
01214,161,9.13,17.6341730558598
01215,143,7.99,17.897371714643302
01216,893,24.43,36.55341792877609
01219,162,12.69,12.76595744680851
01224,3296,21.28,154.88721804511277
01225,383,4.81,79.62577962577963
01227,642,11.37,56.46437994722955
01228,668,11.31,59.06277630415561
01229,1226,9.19,133.40587595212187
01230,310,10.8,28.703703703703702
01231,1948,12.63,154.23594615993665
01232,2275,40.14,56.676631788739414
01233,130,13.11,9.916094584286805
01234,167,3.55,47.04225352112676
01235,1179,16.85,69.97032640949554
01236,1021,18.38,55.54951033732318
01237,1674,13.25,126.33962264150944
01238,2709,3.1,873.8709677419355
01239,631,9.52,66.28151260504202
01240,628,21.54,29.155060352831942
01241,1379,17.74,77.73393461104848
01242,136,3.17,42.90220820189275
01243,1262,5.95,212.10084033613444
01244,7998,13.75,581.6727272727272
01245,950,23.51,40.408336877924285
01246,2204,19.17,114.97130933750651
01247,299,22.0,13.590909090909092
01248,2245,19.62,114.42405708460754
01249,10202,24.49,416.57819518170686
01250,1979,7.41,267.0715249662618
01252,796,8.57,92.88214702450408
01254,2142,13.75,155.78181818181818
01255,651,6.22,104.66237942122187
01257,351,13.7,25.62043795620438
01258,1194,10.03,119.04287138584247
01259,708,6.68,105.98802395209582
01260,304,15.38,19.76592977893368
01261,681,10.75,63.348837209302324
01262,6864,40.11,171.1293941660434
01263,3761,4.16,904.0865384615385
01264,1017,14.56,69.8489010989011
01265,3499,12.83,272.72018706157445
01266,2576,10.27,250.82765335929895
01267,1008,19.34,52.11995863495346
01268,244,6.46,37.77089783281734
01269,3453,12.79,269.97654417513684
01272,1490,26.59,56.036103798420456
01273,1799,19.79,90.9044972208186
01274,632,9.5,66.52631578947368
01275,2596,5.36,484.3283582089552
01276,1627,10.46,155.54493307839388
01277,115,8.24,13.95631067961165
01279,77,7.76,9.922680412371134
01280,136,14.88,9.139784946236558
01281,4591,5.64,814.0070921985816
01282,258,5.91,43.65482233502538
01283,22271,36.18,615.5610834715312
01284,700,6.6,106.06060606060606
01285,1334,3.14,424.84076433121015
01286,959,15.86,60.46658259773014
01288,2777,26.01,106.7666282199154
01289,6460,17.55,368.0911680911681
01290,1309,18.97,69.00369003690037
01291,844,11.07,76.24209575429087
01293,145,5.96,24.328859060402685
01294,897,14.13,63.481953290870486
01295,676,8.66,78.06004618937644
01296,413,12.99,31.793687451886065
01297,890,11.18,79.60644007155635
01298,157,6.2,25.32258064516129
01299,589,19.96,29.509018036072142
01301,2606,20.07,129.84554060787244
01302,165,3.71,44.474393530997304
01303,1696,19.77,85.78654527061204
01304,2904,11.22,258.8235294117647
01305,2195,7.54,291.1140583554377
01306,1637,1.94,843.8144329896908
01307,840,4.25,197.64705882352942
01308,803,7.77,103.34620334620335
01309,83,6.23,13.32263242375602
01310,249,7.63,32.634338138925294
01311,44,8.51,5.170387779083431
01313,8948,12.07,741.3421706710853
01314,1725,15.77,109.3849080532657
01317,331,9.86,33.56997971602434
01318,735,9.53,77.12486883525709
01319,467,12.38,37.72213247172859
01320,3833,16.6,230.9036144578313
01321,892,7.75,115.09677419354838
01322,5050,15.7,321.656050955414
01323,1018,9.54,106.70859538784067
01325,1065,15.02,70.90545938748336
01328,606,22.32,27.1505376344086
01329,157,8.07,19.454770755885995
01330,180,14.03,12.829650748396293
01331,192,8.08,23.762376237623762
01332,792,2.7,293.3333333333333
01333,3366,20.73,162.37337192474675
01334,680,9.0,75.55555555555556
01335,410,9.32,43.99141630901288
01336,1187,24.22,49.00908340214699
01337,1336,16.49,81.01879927228624
01338,1245,28.92,43.04979253112033
01339,1484,3.15,471.11111111111114
01342,546,10.62,51.41242937853108
01343,1822,16.93,107.61961015948022
01344,5971,12.58,474.6422893481717
01345,2245,2.61,860.1532567049809
01346,852,15.22,55.97897503285151
01347,2072,6.53,317.30474732006127
01348,3003,24.98,120.21617293835068
01349,523,14.26,36.67601683029453
01350,2538,28.38,89.4291754756871
01351,1602,20.99,76.32205812291568
01352,586,13.82,42.40231548480463
01353,1723,4.61,373.7527114967462
01354,14274,9.77,1461.0030706243604
01355,484,11.55,41.904761904761905
01356,203,5.66,35.86572438162544
01357,502,11.27,44.54303460514641
01358,426,16.27,26.183159188690844
01359,251,15.8,15.886075949367088
01360,1934,12.36,156.47249190938513
01361,1600,14.19,112.7554615926709
01362,809,16.0,50.5625
01363,1786,15.33,116.50358773646445
01364,767,27.48,27.911208151382823
01365,1165,11.21,103.9250669045495
01366,1088,11.15,97.57847533632287
01367,726,7.52,96.54255319148936
01368,842,9.84,85.56910569105692
01369,955,3.38,282.5443786982249
01370,1674,0.53,3158.490566037736
01371,1221,11.64,104.89690721649484
01372,441,8.5,51.88235294117647
01373,1009,19.14,52.716823406478575
01374,1877,28.09,66.82093271626914
01375,788,12.77,61.70712607674237
01376,4066,6.99,581.6881258941345
01378,2699,25.39,106.30169358014966
01379,762,10.35,73.62318840579711
01380,612,28.3,21.625441696113075
01381,920,24.96,36.85897435897436
01382,305,7.39,41.27198917456022
01383,1583,25.97,60.95494801694263
01384,2172,28.55,76.077057793345
01385,964,7.38,130.62330623306232
01386,1117,9.07,123.15325248070562
01387,256,5.26,48.66920152091255
01388,1116,16.53,67.51361161524501
01389,1823,41.99,43.41509883305549
01390,1247,21.44,58.162313432835816
01391,273,7.77,35.13513513513514
01392,654,14.01,46.680942184154176
01393,555,29.02,19.12474155754652
01396,987,5.61,175.93582887700535
01397,988,1.89,522.7513227513227
01398,1438,14.75,97.49152542372882
01399,2145,3.24,662.037037037037
01400,139,9.59,14.494264859228362
01401,2209,9.46,233.50951374207187
01402,650,16.7,38.92215568862276
01403,1310,8.03,163.13823163138233
01404,134,8.18,16.381418092909534
01405,1273,13.05,97.5478927203065
01406,173,7.99,21.65206508135169
01407,1006,2.4,419.1666666666667
01408,659,16.3,40.42944785276073
01410,299,14.14,21.145685997171146
01411,271,13.19,20.54586808188021
01412,611,10.8,56.57407407407407
01415,524,4.8,109.16666666666667
01416,1012,13.12,77.13414634146342
01418,1103,5.15,214.17475728155338
01419,6119,28.93,211.51054268924992
01420,1664,1.34,1241.7910447761194
01421,734,10.72,68.47014925373134
01422,1354,10.17,133.13667649950835
01423,1169,4.74,246.62447257383965
01424,1823,12.93,140.98994586233565
01425,284,14.75,19.25423728813559
01426,2506,45.42,55.17393218846323
01427,6945,5.71,1216.2872154115587
01428,128,4.36,29.357798165137613
01429,714,9.4,75.95744680851064
01430,636,7.99,79.59949937421777
01431,1224,8.22,148.90510948905109
01432,333,5.11,65.16634050880626
01433,306,10.2,30.000000000000004
01434,488,18.77,25.998934469898774
01435,2146,5.89,364.3463497453311
01436,492,10.7,45.981308411214954
01437,221,12.48,17.708333333333332
01439,99,3.88,25.515463917525775
01441,743,23.73,31.31057732827644
01443,4946,24.65,200.64908722109536
01444,1195,14.46,82.6417704011065
01445,628,13.86,45.310245310245314
01446,1562,26.79,58.30533781261665
01447,1345,17.45,77.07736389684814
01448,394,9.21,42.779587404994565
01449,760,19.38,39.21568627450981
01450,3755,15.91,236.01508485229417
01451,6665,45.03,148.0124361536753
01452,1127,12.55,89.800796812749
01453,712,40.99,17.370090265918517
01454,1118,7.88,141.87817258883248
01456,71,2.05,34.63414634146342
01457,3198,17.81,179.56204379562044
02001,505,5.96,84.73154362416108
02002,602,6.9,87.2463768115942
02003,1019,11.67,87.31790916880891
02004,185,10.79,17.145505097312327
02005,382,10.57,36.14001892147587
02006,260,8.73,29.782359679266893
02007,120,4.88,24.59016393442623
02008,299,14.63,20.43745727956254
02009,531,5.9,90.0
02010,171,5.13,33.333333333333336
02011,1159,17.32,66.91685912240185
02012,73,4.5,16.22222222222222
02013,390,27.9,13.978494623655914
02014,721,13.08,55.1223241590214
02015,74,3.85,19.22077922077922
02016,215,2.91,73.88316151202748
02017,308,9.14,33.6980306345733
02018,2587,20.57,125.76567817209528
02019,359,5.9,60.847457627118644
02020,455,17.73,25.66271855611957
